UF;Município;Cod_Município;CN;Cep_Início;Cep_Fim
AC;Acrelândia;1200013;68;69900-000;69999-999
AC;Assis Brasil;1200054;68;69900-000;69999-999
AC;Brasiléia;1200104;68;69900-000;69999-999
AC;Bujari;1200138;68;69900-000;69999-999
AC;Capixaba;1200179;68;69900-000;69999-999
AC;Cruzeiro Do Sul;1200203;68;69900-000;69999-999
AC;Epitaciolândia;1200252;68;69900-000;69999-999
AC;Feijó;1200302;68;69900-000;69999-999
AC;Jordão;1200328;68;69900-000;69999-999
AC;Mâncio Lima;1200336;68;69900-000;69999-999
AC;Manoel Urbano;1200344;68;69900-000;69999-999
AC;Marechal Thaumaturgo;1200351;68;69900-000;69999-999
AC;Plácido De Castro;1200385;68;69900-000;69999-999
AC;Porto Acre;1200807;68;69900-000;69999-999
AC;Porto Walter;1200393;68;69900-000;69999-999
AC;Rio Branco;1200401;68;69900-000;69999-999
AC;Rodrigues Alves;1200427;68;69900-000;69999-999
AC;Santa Rosa Do Purus;1200435;68;69900-000;69999-999
AC;Sena Madureira;1200500;68;69900-000;69999-999
AC;Senador Guiomard;1200450;68;69900-000;69999-999
AC;Tarauacá;1200609;68;69900-000;69999-999
AC;Xapuri;1200708;68;69900-000;69999-999
AL;Água Branca;2700102;82;57000-000;57999-999
AL;Anadia;2700201;82;57000-000;57999-999
AL;Arapiraca;2700300;82;57000-000;57999-999
AL;Atalaia;2700409;82;57000-000;57999-999
AL;Barra De Santo Antônio;2700508;82;57000-000;57999-999
AL;Barra De São Miguel;2700607;82;57000-000;57999-999
AL;Batalha;2700706;82;57000-000;57999-999
AL;Belém;2700805;82;57000-000;57999-999
AL;Belo Monte;2700904;82;57000-000;57999-999
AL;Boca Da Mata;2701001;82;57000-000;57999-999
AL;Branquinha;2701100;82;57000-000;57999-999
AL;Cacimbinhas;2701209;82;57000-000;57999-999
AL;Cajueiro;2701308;82;57000-000;57999-999
AL;Campestre;2701357;82;57000-000;57999-999
AL;Campo Alegre;2701407;82;57000-000;57999-999
AL;Campo Grande;2701506;82;57000-000;57999-999
AL;Canapi;2701605;82;57000-000;57999-999
AL;Capela;2701704;82;57000-000;57999-999
AL;Carneiros;2701803;82;57000-000;57999-999
AL;Chã Preta;2701902;82;57000-000;57999-999
AL;Coité Do Nóia;2702009;82;57000-000;57999-999
AL;Colônia Leopoldina;2702108;82;57000-000;57999-999
AL;Coqueiro Seco;2702207;82;57000-000;57999-999
AL;Coruripe;2702306;82;57000-000;57999-999
AL;Craíbas;2702355;82;57000-000;57999-999
AL;Delmiro Gouveia;2702405;82;57000-000;57999-999
AL;Dois Riachos;2702504;82;57000-000;57999-999
AL;Estrela De Alagoas;2702553;82;57000-000;57999-999
AL;Feira Grande;2702603;82;57000-000;57999-999
AL;Feliz Deserto;2702702;82;57000-000;57999-999
AL;Flexeiras;2702801;82;57000-000;57999-999
AL;Girau Do Ponciano;2702900;82;57000-000;57999-999
AL;Ibateguara;2703007;82;57000-000;57999-999
AL;Igaci;2703106;82;57000-000;57999-999
AL;Igreja Nova;2703205;82;57000-000;57999-999
AL;Inhapi;2703304;82;57000-000;57999-999
AL;Jacaré Dos Homens;2703403;82;57000-000;57999-999
AL;Jacuípe;2703502;82;57000-000;57999-999
AL;Japaratinga;2703601;82;57000-000;57999-999
AL;Jaramataia;2703700;82;57000-000;57999-999
AL;Jequiá Da Praia;2703759;82;57000-000;57999-999
AL;Joaquim Gomes;2703809;82;57000-000;57999-999
AL;Jundiá;2703908;82;57000-000;57999-999
AL;Junqueiro;2704005;82;57000-000;57999-999
AL;Lagoa Da Canoa;2704104;82;57000-000;57999-999
AL;Limoeiro De Anadia;2704203;82;57000-000;57999-999
AL;Maceió;2704302;82;57010-000;57014-515
AL;Major Isidoro;2704401;82;57000-000;57999-999
AL;Mar Vermelho;2704906;82;57000-000;57999-999
AL;Maragogi;2704500;82;57000-000;57999-999
AL;Maravilha;2704609;82;57000-000;57999-999
AL;Marechal Deodoro;2704708;82;57000-000;57999-999
AL;Maribondo;2704807;82;57000-000;57999-999
AL;Mata Grande;2705002;82;57000-000;57999-999
AL;Matriz De Camaragibe;2705101;82;57000-000;57999-999
AL;Messias;2705200;82;57000-000;57999-999
AL;Minador Do Negrão;2705309;82;57000-000;57999-999
AL;Monteirópolis;2705408;82;57000-000;57999-999
AL;Murici;2705507;82;57000-000;57999-999
AL;Novo Lino;2705606;82;57000-000;57999-999
AL;Olho D'Água Das Flores;2705705;82;57000-000;57999-999
AL;Olho D'Água Do Casado;2705804;82;57000-000;57999-999
AL;Olho D'Água Grande;2705903;82;57000-000;57999-999
AL;Olivença;2706000;82;57000-000;57999-999
AL;Ouro Branco;2706109;82;57000-000;57999-999
AL;Palestina;2706208;82;57000-000;57999-999
AL;Palmeira Dos Índios;2706307;82;57000-000;57999-999
AL;Pão De Açúcar;2706406;82;57000-000;57999-999
AL;Pariconha;2706422;82;57000-000;57999-999
AL;Paripueira;2706448;82;57000-000;57999-999
AL;Passo De Camaragibe;2706505;82;57000-000;57999-999
AL;Paulo Jacinto;2706604;82;57000-000;57999-999
AL;Penedo;2706703;82;57000-000;57999-999
AL;Piaçabuçu;2706802;82;57000-000;57999-999
AL;Pilar;2706901;82;57000-000;57999-999
AL;Pindoba;2707008;82;57000-000;57999-999
AL;Piranhas;2707107;82;57000-000;57999-999
AL;Poço Das Trincheiras;2707206;82;57000-000;57999-999
AL;Porto Calvo;2707305;82;57000-000;57999-999
AL;Porto De Pedras;2707404;82;57000-000;57999-999
AL;Porto Real Do Colégio;2707503;82;57000-000;57999-999
AL;Quebrangulo;2707602;82;57000-000;57999-999
AL;Rio Largo;2707701;82;57000-000;57999-999
AL;Roteiro;2707800;82;57000-000;57999-999
AL;Santa Luzia Do Norte;2707909;82;57000-000;57999-999
AL;Santana Do Ipanema;2708006;82;57000-000;57999-999
AL;Santana Do Mundaú;2708105;82;57000-000;57999-999
AL;São Brás;2708204;82;57000-000;57999-999
AL;São José Da Laje;2708303;82;57000-000;57999-999
AL;São José Da Tapera;2708402;82;57000-000;57999-999
AL;São Luís Do Quitunde;2708501;82;57000-000;57999-999
AL;São Miguel Dos Campos;2708600;82;57000-000;57999-999
AL;São Miguel Dos Milagres;2708709;82;57000-000;57999-999
AL;São Sebastião;2708808;82;57000-000;57999-999
AL;Satuba;2708907;82;57000-000;57999-999
AL;Senador Rui Palmeira;2708956;82;57000-000;57999-999
AL;Tanque D'Arca;2709004;82;57000-000;57999-999
AL;Taquarana;2709103;82;57000-000;57999-999
AL;Teotônio Vilela;2709152;82;57000-000;57999-999
AL;Traipu;2709202;82;57000-000;57999-999
AL;União Dos Palmares;2709301;82;57000-000;57999-999
AL;Viçosa;2709400;82;57000-000;57999-999
AM;Alvarães;1300029;97;69000-000;69899-999
AM;Amaturá;1300060;97;69000-000;69899-999
AM;Anamã;1300086;97;69000-000;69899-999
AM;Anori;1300102;97;69000-000;69899-999
AM;Apuí;1300144;97;69000-000;69899-999
AM;Atalaia Do Norte;1300201;97;69000-000;69899-999
AM;Autazes;1300300;92;69000-000;69899-999
AM;Barcelos;1300409;97;69000-000;69899-999
AM;Barreirinha;1300508;92;69000-000;69899-999
AM;Benjamin Constant;1300607;97;69000-000;69899-999
AM;Beruri;1300631;97;69000-000;69899-999
AM;Boa Vista Do Ramos;1300680;92;69000-000;69899-999
AM;Boca Do Acre;1300706;97;69000-000;69899-999
AM;Borba;1300805;92;69000-000;69899-999
AM;Caapiranga;1300839;92;69000-000;69899-999
AM;Canutama;1300904;97;69000-000;69899-999
AM;Carauari;1301001;97;69000-000;69899-999
AM;Careiro;1301100;92;69000-000;69899-999
AM;Careiro Da Várzea;1301159;92;69000-000;69899-999
AM;Coari;1301209;97;69000-000;69899-999
AM;Codajás;1301308;97;69000-000;69899-999
AM;Eirunepé;1301407;97;69000-000;69899-999
AM;Envira;1301506;97;69000-000;69899-999
AM;Fonte Boa;1301605;97;69000-000;69899-999
AM;Guajará;1301654;97;69000-000;69899-999
AM;Humaitá;1301704;97;69000-000;69899-999
AM;Ipixuna;1301803;97;69000-000;69899-999
AM;Iranduba;1301852;92;69000-000;69899-999
AM;Itacoatiara;1301902;92;69000-000;69899-999
AM;Itamarati;1301951;97;69000-000;69899-999
AM;Itapiranga;1302009;92;69000-000;69899-999
AM;Japurá;1302108;97;69000-000;69899-999
AM;Juruá;1302207;97;69000-000;69899-999
AM;Jutaí;1302306;97;69000-000;69899-999
AM;Lábrea;1302405;97;69000-000;69899-999
AM;Manacapuru;1302504;92;69000-000;69899-999
AM;Manaquiri;1302553;92;69000-000;69899-999
AM;Manaus;1302603;92;69000-000;69010-130
AM;Manicoré;1302702;97;69000-000;69899-999
AM;Maraã;1302801;97;69000-000;69899-999
AM;Maués;1302900;92;69000-000;69899-999
AM;Nhamundá;1303007;92;69000-000;69899-999
AM;Nova Olinda Do Norte;1303106;92;69000-000;69899-999
AM;Novo Airão;1303205;92;69000-000;69899-999
AM;Novo Aripuanã;1303304;97;69000-000;69899-999
AM;Parintins;1303403;92;69000-000;69899-999
AM;Pauini;1303502;97;69000-000;69899-999
AM;Presidente Figueiredo;1303536;92;69000-000;69899-999
AM;Rio Preto Da Eva;1303569;92;69000-000;69899-999
AM;Santa Isabel Do Rio Negro;1303601;97;69000-000;69899-999
AM;Santo Antônio Do Içá;1303700;97;69000-000;69899-999
AM;São Gabriel Da Cachoeira;1303809;97;69000-000;69899-999
AM;São Paulo De Olivença;1303908;97;69000-000;69899-999
