
Logradouro;Bairro
Rua Max Colin, 1980, Sl 02;América
St Ser/S Qd. 08 Bloco M Casa 04 ;Cruzeiro Velho
R. Irene Ramos Gomes De Matos, N°97 , Cxpst 397;Pina
Rua Ana Lúcia Dias, Nº 101;Lagoa Redonda
Av. Jose Rodrigues Do Prado 168;Santa Rosa
Rua Barcelos Nº 1605;Praça 14 de Janeiro
Rua Clóvis Fontenele, 123;Parque Dois Irmãos
Shs Qd.06 Conj. A Bl. C Sl.305 A 308;Asa Sul
Scs Qd. 02 Bloco C Número 41 Sala 304;Asa Sul
Via Chico Mendes  528;Seis de Agosto
Alfeu Ferreira Brandão 33;Marataízes
Av. Santos Dumont, 1740;Centro
Srtvn Qd 701 Conjunto C N° 124Ala A;Asa Norte
Avenida Dos Autonomistas, 2237;Centro
Avenida Getulio Vargas, 671, Sala 10;Funcionários
Rua Quintino Bocaiva, 64 A, Centro;Carangola
Rua Princesa Izabel, 447, Sala 16;Centro
Rua Dos Inválidos, Nº 28;Centro
Rua Maria Curupaiti, 441 - Sala 3023;Vila Ester (Zona Norte)
Rua Marechal Do Ar Antonio Appel Netto;Jardim Leonor
Rua 36 S/N Qd J16 Lt 02 C-2;Setor Marista
Rua Professor Bruno Rezende De Camargo, 262;Vila Jundiainópolis
Cln 305 Bloco E Sala 210;Asa Norte
Rua Da Sesmaria, 213;Bom Retiro
Rua Xavantes, 125 - Loja -Parte;Rio Bonito
Rua Rio Jutaí, 555 - Vieiralves  ;Nossa Senhora das Graças
Av Pequeno Principe 971;Campeche
Rua Quintano Bocaiuva, N 249 A;Cáceres
Rua Da Bahia, 1148, Sala 1213;Centro
Rua Dr. Avelino De Queiroz;Capitólio
Av. Nossa Senhora De Copacabana 1059;Copacabana
Pc Tomas Morus, N°: 81 - Conj 1201, 1202, 1203 E Conj 1207 ;Água Branca
Srtn Q. 702 Cj. P - Ed. Brasília Rádio Center  Sl. 3060;Asa Norte
Av Marechal Rondon 527;Centro
Av. Dr. Victor Do Amaral, 588 Loja 13;Centro
Av. Tancredo Neves, 2421, Sl 1101 Emp. Redenção;Caminho das Árvores
Avenida Miguel Stefano, 3900;Saúde
Av. Ayrton Senna, 357 - Mandacaru Mall - Lj. 14;Capim Macio
110 Norte Alameda 13 Lote 04;Plano Diretor Norte
Rua Guajajaras, 910 Sl:903;Centro
St Shcs Cr Quadra 510 Bloco C N° 25 Sala 301;Asa Norte
Rua Visconde Do Rio Branco, 45;Mercês
Rua Ayrton Rodrigues Leite, 31;Vila Giocondo Orsi
Rua Ceará, 269 Conj.A;Alphaville Empresarial
Av Professor Sérgio Beninho Gheno, 461;Vespasiano Correa
R. Leopoldo Machado;Beirol
Shis Qi 29 Bloco A Sala 106;Setor de Habitações Individuais Sul
General Mello 82;Centro
Rua Balticero Filomeno, 2484;Ribeirão da Ilha
Av. Senador Virgilio Távora, 1701 Sala 808;Dionisio Torres
Rua Dos Flamboyants, 166, Conjunto Beira Rio;Inácio Barbosa
Quadra 03 Conjunto A Nº 47;Sobradinho
Sbs Qd 02 Bloco A Ed. Casa De São Paulo ;Asa Sul
Av. Rui Frazao Soares , 80 Loja Parte;Barra da Tijuca
Rua João Paulo Ii, 19;Jardim Santa Marta
Rua Tuiuti, 95;São Cristóvão
Rua Da Lapa  Nº120 Sala 803;Centro
Av Carlos Gomes, 281 S/602;Auxiliadora
Rua Rosa Cirilo De Castro, 85;Jardim Polo Centro
Rua 24 De Maio, 980 - Loja 35;Centro
Eqs 102/103 -Bl. A  Loja 20 A 22;Asa Sul
Rua Monsenhor Coutinho, N 477 ;Centro
Rua Padre Madureira, 53;Centro
Rua Padre Manuel Campello, 241 ;Vila Inácio
R Dr Guilherme Bannitz, 126-Cv 87 ;Itaim Bibi
Pç. Do Rosario, Nº 94 Centro;Itaberaba
Rua Gumercindo Couto E Silva, 813  Casa;Itapoã
Av General Afonso Albuquerque Lima, 85 - Centro Adm Gov Virgílio Távora;Cambeba
Rua Prefeito João Francisco Da Silva,37;Viçosa
"Av. Nossa Senhora Dos Navegantes N° 06 Anexo;";Nova Almeida
Rua Julia Freire 1200 Sala 01- Edf Empresarial Metropolitan;Expedicionários
Rua São Paulo, 1053, Sala 01;Brasil
Estrada Da Posse,  Nº 110 - Santíssimo;Campo Grande
Av. Sangradouro, 925, Cavalhada;Cáceres
Rua Felix Kleis, 113, Sl 01;Santa Mônica
Q Ca  (Centro De Atividades) 11 S/N Bloco E Junta A Sala 202 A E 204 A Ed. Le Office;Setor de Habitações Individuais Norte
Parque Solon De Lucena 530 Sl6;Centro
Rua Borges, 67 ;Indaiá
Rua 226 Nº 264 Qd. 84 Lt. 19 Casa 2;Setor Leste Universitário
Rua Ten. Jaime Andrade, 279;Aerolândia
Av.Dos Lagos, 41, A 338;Cidade Universitária Pedra Branca
Av. Edilson Brasil Soares, 1234 - Conj. Alvorada;Edson Queiroz
Rua Do Uruguai, 13 Sl:501 A 504;Funcionários
Rua Júlio Siqueira, 970;Joaquim Távora
Shn Quadra 2 Bloco J Loja 131 ;Asa Norte
Rua Santos Dumont, 3225 - Loja 02 - Centro;Zona 01
Rua Gonçalves Dias, 1181, Sala 707;Funcionários
Rua Eurico Gaspar Dutra, 714;Vila Ipase
Av. Dos Expedicionários Nº 940;São João
Av. Maringá, 725 - 7º Andar - Sl. 701;Vitória
Avenida Das Américas 15700 Lj 185;BARRA DA TIJUCA
Rua Francisco Getulio Vargas 1130 S 26;Petrópolis
Rua Virgilino Ferreira De Souza, 345;Barreiros
Av. Senador Lemos, 242, Sala 06;Umarizal
Rua 1031 N 76 Q 71 L 15 E;Setor Pedro Ludovico
